ConceptScheme,type,preferred label (cs),label
nace-cz,ConceptScheme,CZ-NACE_KL,A
nace-cz,ConceptScheme,CZ-NACE_KL,B
nace-cz,ConceptScheme,CZ-NACE_KL,C
nace-cz,ConceptScheme,CZ-NACE_KL,D
nace-cz,ConceptScheme,CZ-NACE_KL,E
nace-cz,ConceptScheme,CZ-NACE_KL,F
nace-cz,ConceptScheme,CZ-NACE_KL,G
nace-cz,ConceptScheme,CZ-NACE_KL,H
nace-cz,ConceptScheme,CZ-NACE_KL,I
nace-cz,ConceptScheme,CZ-NACE_KL,J
nace-cz,ConceptScheme,CZ-NACE_KL,K
nace-cz,ConceptScheme,CZ-NACE_KL,L
nace-cz,ConceptScheme,CZ-NACE_KL,M
nace-cz,ConceptScheme,CZ-NACE_KL,N
nace-cz,ConceptScheme,CZ-NACE_KL,O
nace-cz,ConceptScheme,CZ-NACE_KL,P
nace-cz,ConceptScheme,CZ-NACE_KL,Q
nace-cz,ConceptScheme,CZ-NACE_KL,R
nace-cz,ConceptScheme,CZ-NACE_KL,S
nace-cz,ConceptScheme,CZ-NACE_KL,T
nace-cz,ConceptScheme,CZ-NACE_KL,U
nace-cz,ConceptScheme,CZ-NACE_KL,A
nace-cz,ConceptScheme,CZ-NACE_KL,B
nace-cz,ConceptScheme,CZ-NACE_KL,C
nace-cz,ConceptScheme,CZ-NACE_KL,D
nace-cz,ConceptScheme,CZ-NACE_KL,E
nace-cz,ConceptScheme,CZ-NACE_KL,F
nace-cz,ConceptScheme,CZ-NACE_KL,G
nace-cz,ConceptScheme,CZ-NACE_KL,H
nace-cz,ConceptScheme,CZ-NACE_KL,I
nace-cz,ConceptScheme,CZ-NACE_KL,J
nace-cz,ConceptScheme,CZ-NACE_KL,K
nace-cz,ConceptScheme,CZ-NACE_KL,L
nace-cz,ConceptScheme,CZ-NACE_KL,M
nace-cz,ConceptScheme,CZ-NACE_KL,N
nace-cz,ConceptScheme,CZ-NACE_KL,O
nace-cz,ConceptScheme,CZ-NACE_KL,P
nace-cz,ConceptScheme,CZ-NACE_KL,Q
nace-cz,ConceptScheme,CZ-NACE_KL,R
nace-cz,ConceptScheme,CZ-NACE_KL,S
nace-cz,ConceptScheme,CZ-NACE_KL,T
nace-cz,ConceptScheme,CZ-NACE_KL,U
